A, b ready
BICGSTAB: system of size 252004
    k     ‖rₖ‖      |αₖ|      |ωₖ|  timer
  322  1.2e+05   1.4e-06   1.8e-06  1.31s
  323  1.2e+05   1.2e-07   1.5e-06  1.32s
  324  1.2e+05   6.7e-06   4.5e-06  1.32s
  325  1.2e+05   8.2e-06   1.3e-06  1.32s
  326  1.2e+05   1.6e-06   6.2e-07  1.33s
  327  1.2e+05   4.0e-06   5.6e-07  1.33s
  328  1.2e+05   1.3e-06   1.7e-04  1.33s
  329  1.2e+05   1.4e-06   5.0e-07  1.33s
  330  1.2e+05   1.9e-07   1.8e-06  1.34s
  331  1.2e+05   3.1e-06   3.0e-06  1.34s
  332  1.2e+05   6.9e-06   1.0e-06  1.34s
  333  1.2e+05   4.6e-06   5.8e-07  1.35s
  334  1.2e+05   8.1e-07   2.5e-05  1.35s
  335  1.2e+05   2.0e-06   7.2e-07  1.36s
  336  1.1e+05   2.5e-05   5.5e-07  1.36s
  337  1.1e+05   4.3e-07   1.5e-05  1.36s
  338  1.1e+05   1.3e-06   5.1e-07  1.36s
  339  1.1e+05   4.7e-07   1.5e-06  1.37s
  340  1.1e+05   2.6e-07   4.2e-06  1.37s
  341  1.1e+05   5.2e-05   8.0e-07  1.37s
  342  1.1e+05   2.2e-06   5.3e-07  1.38s
  343  1.1e+05   8.4e-07   5.5e-05  1.38s
  344  1.1e+05   5.4e-06   6.0e-07  1.38s
  345  1.1e+05   1.6e-06   8.9e-07  1.38s
  346  1.1e+05   1.7e-06   2.8e-06  1.39s
  347  1.1e+05   7.7e-06   5.1e-07  1.39s
  348  1.1e+05   2.1e-06   1.4e-06  1.39s
  349  1.1e+05   1.9e-07   2.9e-06  1.39s
  350  1.1e+05   3.2e-06   2.5e-06  1.40s
  351  1.1e+05   1.9e-07   8.0e-07  1.40s
  352  1.1e+05   6.5e-05   7.1e-07  1.40s
  353  1.1e+05   1.1e-06   6.8e-06  1.40s
  354  1.1e+05   2.2e-05   5.0e-07  1.41s
  355  1.1e+05   6.2e-08   1.1e-06  1.41s
  356  1.0e+05   4.3e-06   2.9e-04  1.41s
  357  1.0e+05   8.7e-06   5.0e-07  1.41s
  358  1.0e+05   3.2e-07   1.7e-06  1.42s
  359  1.0e+05   5.7e-06   8.9e-07  1.42s
  360  1.0e+05   1.2e-06   3.8e-06  1.42s
  361  1.0e+05   2.2e-06   6.9e-07  1.42s
  362  1.1e+05   3.8e-05   5.5e-07  1.43s
  363  9.9e+04   7.7e-08   6.8e-05  1.43s
  364  9.8e+04   8.0e-07   5.1e-07  1.43s
  365  9.9e+04   4.2e-06   4.8e-06  1.43s
  366  9.8e+04   3.4e-06   9.9e-07  1.44s
  367  9.7e+04   1.7e-06   1.0e-06  1.44s
  368  9.7e+04   1.0e-06   2.7e-06  1.44s
  369  9.6e+04   5.1e-06   5.4e-07  1.45s
  370  9.5e+04   2.1e-06   3.6e-06  1.45s
  371  9.5e+04   3.2e-06   5.0e-07  1.45s
  372  9.4e+04   1.8e-06   5.9e-05  1.45s
  373  9.4e+04   1.3e-07   6.4e-07  1.46s
  374  9.3e+04   2.0e-05   5.4e-07  1.46s
  375  9.4e+04   5.4e-07   2.0e-06  1.46s
  376  9.2e+04   1.6e-05   6.2e-07  1.46s
  377  9.3e+04   4.4e-06   5.3e-07  1.47s
  378  7.2e+04   8.8e-08   5.9e-03  1.47s
  379  6.8e+04   2.6e-06   9.0e-07  1.47s
  380  6.7e+04   5.5e-06   5.0e-07  1.47s
  381  6.6e+04   1.3e-06   1.2e-06  1.48s
  382  6.6e+04   2.2e-06   8.1e-06  1.48s
  383  6.6e+04   3.1e-06   6.4e-07  1.48s
  384  6.5e+04   1.8e-06   2.0e-06  1.48s
  385  6.5e+04   3.6e-06   7.4e-07  1.49s
  386  6.5e+04   1.3e-07   2.2e-06  1.49s
  387  6.4e+04   2.4e-05   1.4e-06  1.49s
  388  6.4e+04   1.1e-06   2.5e-06  1.49s
  389  6.4e+04   7.7e-07   5.4e-07  1.50s
  390  6.4e+04   3.1e-06   7.5e-07  1.50s
  391  6.5e+04   6.3e-06   3.5e-06  1.50s
  392  6.3e+04   1.7e-06   6.1e-07  1.51s
  393  6.3e+04   1.3e-06   1.8e-06  1.51s
  394  6.3e+04   9.6e-07   8.0e-06  1.51s
  395  6.3e+04   7.2e-06   5.0e-07  1.51s
  396  5.8e+04   1.3e-06   2.0e-03  1.52s
  397  5.7e+04   5.8e-07   7.3e-07  1.52s
  398  5.7e+04   1.8e-05   5.2e-07  1.52s
  399  5.5e+04   2.1e-06   1.0e-06  1.52s
  400  5.5e+04   5.7e-07   1.4e-06  1.53s
  401  5.5e+04   1.4e-06   5.8e-07  1.53s
  402  5.5e+04   2.2e-06   3.2e-06  1.53s
  403  5.5e+04   2.2e-06   5.3e-07  1.53s
  404  5.4e+04   1.6e-06   2.3e-05  1.54s
  405  5.4e+04   2.6e-06   5.2e-07  1.54s
  406  5.4e+04   1.9e-06   7.4e-06  1.55s
  407  5.3e+04   1.7e-05   8.9e-07  1.55s
  408  5.3e+04   3.4e-07   8.5e-07  1.56s
  409  5.3e+04   1.1e-06   5.5e-07  1.56s
  410  5.3e+04   2.0e-06   3.3e-05  1.56s
